"radio_id","escuela_id","tiempo_min"
"8","61",239.9
"8","62",239.9
"8","63",239.9
"8","64",239.9
"8","65",239.9
"8","66",239.9
"8","67",7.4
"8","68",223.9
"8","69",135.3
"8","70",135.3
"8","71",232.9
"8","72",138.2
"8","73",142.7
"8","74",3.2
"9","1",14.1
"9","2",14.1
"9","3",12.1
"9","4",12.1
"9","5",12.1
"9","6",5.8
"9","7",5.8
"9","8",5.8
"9","9",5.8
"9","10",5.8
"9","11",5.8
"9","12",5.8
"9","13",5.8
"9","14",8.4
"9","15",8.4
"9","16",8.4
"9","17",154.3
"9","18",154.3
"9","19",154.3
"9","20",148.2
"9","21",148.2
"9","22",150.9
"9","23",137
"9","24",137
"9","25",137
"9","26",137
"9","27",149.5
"9","28",155.1
"9","29",140.4
"9","30",140.4
"9","31",134.1
"9","32",146.6
"9","33",146.6
"9","34",140.2
"9","35",140.4
"9","36",9.5
"9","37",149.8
"9","38",10.6
"9","39",10.6
"9","40",137.9
"9","41",147.7
"9","42",148.8
"9","43",147.4
"9","44",136.2
"9","45",150.9
"9","46",147
"9","47",147
"9","48",147.8
"9","49",147.8
"9","50",147.8
"9","51",133.9
"9","52",133.9
"9","53",131.5
"9","54",140
"9","55",140
"9","56",140
"9","57",140
"9","58",140
"9","59",140
"9","60",140
"9","61",140
"9","62",140
"9","63",140
"9","64",140
"9","65",140
"9","66",140
"9","67",148.6
"9","68",149.9
"9","69",8.4
"9","70",8.4
"9","71",145.1
"9","72",7.1
"9","73",11.6
"9","74",143
"10","1",14.1
"10","2",14.1
"10","3",12.1
"10","4",12.1
"10","5",12.1
"10","6",5.8
"10","7",5.8
"10","8",5.8
"10","9",5.8
"10","10",5.8
"10","11",5.8
"10","12",5.8
"10","13",5.8
"10","14",8.4
"10","15",8.4
"10","16",8.4
"10","17",154.3
"10","18",154.3
"10","19",154.3
"10","20",148.2
"10","21",148.2
"10","22",150.9
"10","23",137
"10","24",137
"10","25",137
"10","26",137
"10","27",149.5
"10","28",155.1
"10","29",140.4
"10","30",140.4
"10","31",134.1
"10","32",146.6
"10","33",146.6
"10","34",140.2
"10","35",140.4
"10","36",9.5
"10","37",149.8
"10","38",10.6
"10","39",10.6
"10","40",137.9
"10","41",147.7
"10","42",148.8
"10","43",147.4
"10","44",136.2
"10","45",150.9
"10","46",147
"10","47",147
"10","48",147.8
"10","49",147.8
"10","50",147.8
"10","51",133.9
"10","52",133.9
"10","53",131.5
"10","54",140
"10","55",140
"10","56",140
"10","57",140
"10","58",140
"10","59",140
"10","60",140
"10","61",140
"10","62",140
"10","63",140
"10","64",140
"10","65",140
"10","66",140
"10","67",148.6
"10","68",149.9
"10","69",8.4
"10","70",8.4
"10","71",145.1
"10","72",7.1
"10","73",11.6
"10","74",143
"11","1",13.8
"11","2",13.8
"11","3",11.9
"11","4",11.9
"11","5",11.9
"11","6",5.5
"11","7",5.5
"11","8",5.5
"11","9",5.5
"11","10",5.5
"11","11",5.5
"11","12",5.5
"11","13",5.5
"11","14",8.2
"11","15",8.2
"11","16",8.2
"11","17",154.1
"11","18",154.1
"11","19",154.1
"11","20",147.9
"11","21",147.9
"11","22",150.6
"11","23",136.7
"11","24",136.7
"11","25",136.7
"11","26",136.7
"11","27",149.2
"11","28",154.8
"11","29",140.1
"11","30",140.1
"11","31",133.8
"11","32",146.3
"11","33",146.3
"11","34",140
"11","35",140.1
"11","36",9.2
"11","37",149.6
"11","38",10.4
"11","39",10.4
"11","40",137.7
"11","41",147.5
"11","42",148.5
"11","43",147.1
"11","44",136
"11","45",150.6
"11","46",146.7
"11","47",146.8
"11","48",147.5
"11","49",147.5
"11","50",147.5
"11","51",133.7
"11","52",133.7
"11","53",131.3
"11","54",139.7
"11","55",139.7
"11","56",139.7
"11","57",139.7
"11","58",139.7
"11","59",139.7
"11","60",139.7
"11","61",139.7
"11","62",139.7
"11","63",139.7
"11","64",139.7
"11","65",139.7
"11","66",139.7
"11","67",148.4
"11","68",149.6
"11","69",8.1
"11","70",8.1
"11","71",144.9
"11","72",6.8
"11","73",11.3
"11","74",142.7
"12","1",12.4
"12","2",12.4
"12","3",10.5
"12","4",10.5
"12","5",10.5
"12","6",5.1
"12","7",5.1
"12","8",5.1
"12","9",5.1
"12","10",5.1
"12","11",5.1
"12","12",5.1
"12","13",5.1
"12","14",7.8
"12","15",7.8
"12","16",7.8
"12","17",152.7
"12","18",152.7
"12","19",152.7
"12","20",146.5
"12","21",146.5
"12","22",149.2
"12","23",135.3
"12","24",135.3
"12","25",135.3
"12","26",135.3
"12","27",147.8
"12","28",153.4
"12","29",138.7
"12","30",138.7
"12","31",132.8
"12","32",144.9
"12","33",144.9
"12","34",138.6
"12","35",138.7
"12","36",8.8
"12","37",148.5
"12","38",10
"12","39",10
"12","40",136.6
"12","41",146.4
"12","42",147.1
"12","43",145.8
"12","44",134.9
"12","45",149.2
"12","46",145.3
"12","47",145.7
"12","48",146.1
"12","49",146.1
"12","50",146.1
"12","51",132.3
"12","52",132.3
"12","53",130.3
"12","54",138.7
"12","55",138.7
"12","56",138.7
"12","57",138.7
"12","58",138.7
"12","59",138.7
"12","60",138.7
"12","61",138.7
"12","62",138.7
"12","63",138.7
"12","64",138.7
"12","65",138.7
"12","66",138.7
"12","67",147
"12","68",148.6
"12","69",6.7
"12","70",6.7
"12","71",143.8
"12","72",5.5
"12","73",10.9
"12","74",141.3
"13","1",11.2
"13","2",11.2
"13","3",9.2
"13","4",9.2
"13","5",9.2
"13","6",4.7
"13","7",4.7
"13","8",4.7
"13","9",4.7
"13","10",4.7
"13","11",4.7
"13","12",4.7
"13","13",4.7
"13","14",7.7
"13","15",7.7
"13","16",7.7
"13","17",151.4
"13","18",151.4
"13","19",151.4
"13","20",145.3
"13","21",145.3
"13","22",148
"13","23",134.1
"13","24",134.1
"13","25",134.1
"13","26",134.1
"13","27",146.6
"13","28",152.2
"13","29",137.5
"13","30",137.5
"13","31",132
